loss,accuracy,val_loss,val_accuracy,lr
1.3565278053283691,0.5227272510528564,0.42630788683891296,0.9104859232902527,0.0005
0.6537977457046509,0.7644045948982239,0.20541992783546448,0.9578005075454712,0.0005
0.4509970545768738,0.8434699177742004,0.130484476685524,0.970588207244873,0.0005
0.3757384121417999,0.8690780997276306,0.1223432719707489,0.971867024898529,0.0005
0.2910269498825073,0.8988476395606995,0.07444646954536438,0.9859334826469421,0.0005
0.26791420578956604,0.9055697917938232,0.07394731789827347,0.9833759665489197,0.0005
0.22180058062076569,0.9238156080245972,0.06568830460309982,0.9859334826469421,0.0005
0.2285050004720688,0.9234955310821533,0.06713990867137909,0.9859334826469421,0.0005
0.1863524466753006,0.9401408433914185,0.053105127066373825,0.9897698163986206,0.0005
0.1807648241519928,0.9411011338233948,0.0540664903819561,0.9859334826469421,0.0005
0.17203058302402496,0.9423815608024597,0.06001543998718262,0.9846547245979309,0.0005
0.17379724979400635,0.9414212703704834,0.05187012255191803,0.9872123003005981,0.0005
0.16679778695106506,0.9407810568809509,0.050451572984457016,0.9923273921012878,0.0005
0.15884128212928772,0.9452624917030334,0.05027441307902336,0.9872123003005981,0.0005
0.14277206361293793,0.9471830725669861,0.04588615521788597,0.9884910583496094,0.0005
0.1412370800971985,0.9487836360931396,0.04985759034752846,0.9884910583496094,0.0005
0.1309947967529297,0.9526248574256897,0.04842499643564224,0.9897698163986206,0.0005
0.12623527646064758,0.9590268731117249,0.043416012078523636,0.9910485744476318,0.0005
0.12049034237861633,0.9571062922477722,0.04156307876110077,0.9923273921012878,0.0005
0.12216364592313766,0.9564660787582397,0.044370196759700775,0.9923273921012878,0.0005
